+----------+-------+-------+------+------+------------+----+----+----+----+-----+-----+-----+----+----+-------------+----------+----------+-------------+--------+---------+----------------+
|Circuit # | Qubits| Depth |  CX  |  U3  | Ent. Ratio | X  | Y  | Z  | H  |  RX |  RY |  RZ | S  | T  | Total Gates |Diversity | CX/Qubit | Width/Depth | CX/U3  | 1Q Ratio| Best Simulator |
|    12    |   7   |   27  |  5   |  6   |    0.19    | 10 | 8  | 11 | 9  |  8  |  8  |  6  | 3  | 11 |     109     |    15    |   0.71   |     0.26    |  0.71  |   0.73  | ibmq_peekskill |
|    13    |   5   |   19  |  5   |  0   |    0.26    | 3  | 9  | 9  | 4  |  8  |  2  |  2  | 3  | 5  |      64     |    14    |   1.00   |     0.26    |  5.00  |   0.70  |ibmq_sherbrooke |
|    14    |   7   |   27  |  13  |  11  |    0.48    | 7  | 9  | 8  | 9  |  7  |  5  |  2  | 4  | 6  |      99     |    15    |   1.86   |     0.26    |  1.08  |   0.69  |  ibmq_mumbai   |
|    15    |   11  |   27  |  13  |  14  |    0.48    | 10 | 11 | 13 | 5  |  8  |  11 |  10 | 12 | 14 |     154     |    15    |   1.18   |     0.41    |  0.87  |   0.70  |ibmq_sherbrooke |
|    16    |   6   |   47  |  11  |  8   |    0.23    | 12 | 15 | 11 | 5  |  13 |  4  |  15 | 8  | 9  |     146     |    15    |   1.83   |     0.13    |  1.22  |   0.68  |  ibmq_quebec   |
|    17    |   8   |   52  |  14  |  20  |    0.27    | 12 | 9  | 15 | 18 |  20 |  4  |  11 | 10 | 17 |     201     |    15    |   1.75   |     0.15    |  0.67  |   0.68  |  ibmq_prague   |
|    18    |   10  |   44  |  22  |  10  |    0.50    | 11 | 18 | 15 | 14 |  15 |  18 |  9  | 17 | 15 |     207     |    15    |   2.20   |     0.23    |  2.00  |   0.69  |ibmq_sherbrooke |
|    19    |   4   |   27  |  5   |  4   |    0.19    | 3  | 4  | 6  | 4  |  3  |  3  |  7  | 4  | 4  |      65     |    15    |   1.25   |     0.15    |  1.00  |   0.65  |   ibmq_paris   |
|    20    |   4   |   15  |  4   |  2   |    0.27    | 0  | 2  | 2  | 5  |  1  |  1  |  2  | 1  | 0  |      30     |    13    |   1.00   |     0.27    |  1.33  |   0.53  |ibmq_sherbrooke |
|    21    |   5   |   14  |  5   |  5   |    0.36    | 3  | 8  | 1  | 4  |  0  |  3  |  3  | 4  | 5  |      51     |    14    |   1.00   |     0.36    |  0.83  |   0.71  |ibmq_sherbrooke |
|    22    |   5   |   40  |  6   |  11  |    0.15    | 7  | 11 | 11 | 11 |  4  |  9  |  8  | 8  | 7  |     120     |    15    |   1.20   |     0.12    |  0.50  |   0.72  |  ibmq_mumbai   |
|    23    |   10  |   40  |  9   |  22  |    0.23    | 18 | 10 | 15 | 16 |  16 |  15 |  14 | 15 | 24 |     222     |    15    |   0.90   |     0.25    |  0.39  |   0.74  | ibmq_rochester |
|    24    |   6   |   41  |  8   |  4   |    0.20    | 9  | 11 | 16 | 16 |  6  |  10 |  6  | 7  | 6  |     127     |    15    |   1.33   |     0.15    |  1.60  |   0.72  |  ibmq_sydney   |
|    25    |   5   |   22  |  5   |  7   |    0.23    | 2  | 9  | 6  | 3  |  5  |  10 |  1  | 2  | 6  |      71     |    15    |   1.00   |     0.23    |  0.62  |   0.72  |   ibmq_paris   |
|    26    |   5   |   20  |  4   |  4   |    0.20    | 3  | 6  | 5  | 8  |  3  |  2  |  3  | 7  | 2  |      62     |    15    |   0.80   |     0.25    |  0.80  |   0.69  |   ibmq_osaka   |
|    27    |   8   |   46  |  18  |  12  |    0.39    | 12 | 11 | 10 | 15 |  12 |  17 |  13 | 16 | 12 |     181     |    15    |   2.25   |     0.17    |  1.38  |   0.72  | ibmq_rochester |
|    28    |   7   |   28  |  5   |  9   |    0.18    | 10 | 11 | 12 | 10 |  8  |  4  |  5  | 7  | 11 |     121     |    15    |   0.71   |     0.25    |  0.50  |   0.72  |  ibmq_toronto  |
|    29    |   5   |   12  |  3   |  1   |    0.25    | 4  | 5  | 3  | 1  |  1  |  2  |  2  | 3  | 1  |      38     |    15    |   0.60   |     0.42    |  1.50  |   0.61  | ibmq_manhattan |
|    30    |   6   |   12  |  3   |  4   |    0.25    | 4  | 3  | 5  | 4  |  5  |  2  |  4  | 3  | 1  |      49     |    15    |   0.50   |     0.50    |  0.60  |   0.71  |ibmq_washington |
|    31    |   10  |   27  |  13  |  5   |    0.48    | 8  | 2  | 11 | 13 |  6  |  7  |  11 | 4  | 11 |     117     |    15    |   1.30   |     0.37    |  2.17  |   0.67  |  ibmq_prague   |
|    32    |   5   |   18  |  1   |  4   |    0.06    | 3  | 3  | 7  | 2  |  3  |  3  |  8  | 3  | 5  |      59     |    15    |   0.20   |     0.28    |  0.20  |   0.69  | ibmq_singapore |
|    33    |   4   |   30  |  6   |  6   |    0.20    | 1  | 4  | 7  | 5  |  12 |  4  |  3  | 4  | 8  |      75     |    15    |   1.50   |     0.13    |  0.86  |   0.72  | ibmq_montreal  |
|    34    |   8   |   17  |  10  |  4   |    0.59    | 6  | 6  | 4  | 8  |  4  |  4  |  5  | 5  | 3  |      76     |    15    |   1.25   |     0.47    |  2.00  |   0.64  |  ibmq_toronto  |
|    35    |   11  |   22  |  13  |  13  |    0.59    | 8  | 4  | 4  | 11 |  10 |  11 |  5  | 8  | 2  |     114     |    15    |   1.18   |     0.50    |  0.93  |   0.67  |  ibmq_prague   |
|    36    |   7   |   26  |  9   |  5   |    0.35    | 9  | 9  | 8  | 7  |  2  |  5  |  9  | 7  | 7  |     101     |    15    |   1.29   |     0.27    |  1.50  |   0.67  | ibmq_marrakesh |
|    37    |   11  |   39  |  12  |  22  |    0.31    | 23 | 17 | 16 | 16 |  17 |  17 |  18 | 14 | 11 |     235     |    15    |   1.09   |     0.28    |  0.52  |   0.73  |  ibmq_sydney   |
|    38    |   4   |   47  |  14  |  8   |    0.30    | 7  | 4  | 2  | 10 |  6  |  9  |  7  | 11 | 6  |     105     |    15    |   3.50   |     0.09    |  1.56  |   0.67  |  ibmq_prague   |
|    39    |   5   |   10  |  0   |  3   |    0.00    | 2  | 1  | 1  | 2  |  1  |  6  |  2  | 2  | 3  |      34     |    14    |   0.00   |     0.50    |  0.00  |   0.68  |   ibmq_paris   |
|    40    |   9   |   37  |  17  |  12  |    0.46    | 13 | 7  | 15 | 8  |  11 |  13 |  16 | 15 | 14 |     174     |    15    |   1.89   |     0.24    |  1.31  |   0.71  |  ibmq_mumbai   |
|    41    |   7   |   23  |  8   |  6   |    0.35    | 6  | 4  | 6  | 8  |  10 |  6  |  4  | 6  | 12 |      95     |    15    |   1.14   |     0.30    |  1.14  |   0.72  |ibmq_sherbrooke |
|    42    |   4   |   17  |  6   |  2   |    0.35    | 2  | 4  | 3  | 2  |  3  |  2  |  2  | 3  | 5  |      42     |    14    |   1.50   |     0.24    |  2.00  |   0.67  |   ibmq_paris   |
|    43    |   7   |   35  |  8   |  7   |    0.23    | 8  | 9  | 13 | 13 |  6  |  11 |  13 | 5  | 18 |     138     |    15    |   1.14   |     0.20    |  1.00  |   0.75  | ibmq_peekskill |
|    44    |   6   |   30  |  8   |  5   |    0.27    | 4  | 3  | 7  | 7  |  10 |  9  |  5  | 8  | 6  |      92     |    15    |   1.33   |     0.20    |  1.33  |   0.70  |  ibmq_toronto  |
|    45    |   9   |   12  |  7   |  2   |    0.58    | 1  | 5  | 5  | 4  |  8  |  6  |  3  | 2  | 2  |      60     |    15    |   0.78   |     0.75    |  2.33  |   0.63  | ibmq_melbourne |
|    46    |   9   |   16  |  4   |  2   |    0.25    | 5  | 4  | 9  | 6  |  6  |  8  |  5  | 4  | 6  |      82     |    15    |   0.44   |     0.56    |  1.33  |   0.67  |ibmq_washington |
|    47    |   9   |   32  |  11  |  15  |    0.34    | 12 | 10 | 14 | 15 |  16 |  10 |  10 | 10 | 7  |     166     |    15    |   1.22   |     0.28    |  0.69  |   0.72  |   ibmq_osaka   |
|    48    |   11  |   13  |  5   |  6   |    0.38    | 4  | 6  | 6  | 4  |  5  |  8  |  2  | 7  | 8  |      84     |    15    |   0.45   |     0.85    |  0.71  |   0.67  |  ibmq_quebec   |
|    49    |   4   |   24  |  6   |  1   |    0.25    | 1  | 3  | 3  | 2  |  5  |  2  |  4  | 5  | 1  |      49     |    15    |   1.50   |     0.17    |  3.00  |   0.55  | ibmq_brooklyn  |
|    50    |   4   |   18  |  4   |  4   |    0.22    | 7  | 2  | 5  | 1  |  3  |  1  |  3  | 0  | 2  |      41     |    14    |   1.00   |     0.22    |  0.80  |   0.68  |  ibmq_manila   |
|    51    |   6   |   11  |  6   |  2   |    0.55    | 2  | 3  | 1  | 6  |  2  |  5  |  2  | 2  | 1  |      42     |    15    |   1.00   |     0.55    |  2.00  |   0.62  | ibmq_melbourne |
|    52    |   4   |   20  |  4   |  2   |    0.20    | 3  | 1  | 6  | 3  |  3  |  3  |  4  | 3  | 2  |      47     |    15    |   1.00   |     0.20    |  1.33  |   0.64  |  ibmq_ourense  |
|    53    |   10  |   36  |  17  |  17  |    0.47    | 15 | 12 | 20 | 14 |  10 |  11 |  10 | 7  | 12 |     184     |    15    |   1.70   |     0.28    |  0.94  |   0.70  | ibmq_marrakesh |
|    54    |   9   |   33  |  5   |  9   |    0.15    | 11 | 20 | 7  | 7  |  8  |  11 |  11 | 18 | 7  |     148     |    15    |   0.56   |     0.27    |  0.50  |   0.74  | ibmq_marrakesh |
|    55    |   10  |   49  |  15  |  21  |    0.31    | 19 | 20 | 18 | 16 |  18 |  14 |  15 | 14 | 11 |     233     |    15    |   1.50   |     0.20    |  0.68  |   0.71  |  ibmq_mumbai   |
|    56    |   5   |   21  |  3   |  9   |    0.14    | 2  | 5  | 5  | 5  |  2  |  4  |  3  | 1  | 8  |      61     |    15    |   0.60   |     0.24    |  0.30  |   0.72  |   ibmq_belem   |
|    57    |   9   |   37  |  15  |  11  |    0.41    | 11 | 7  | 11 | 10 |  16 |  12 |  10 | 19 | 10 |     170     |    15    |   1.67   |     0.24    |  1.25  |   0.69  |  ibmq_prague   |
|    58    |   5   |   44  |  10  |  5   |    0.23    | 9  | 12 | 14 | 3  |  11 |  7  |  14 | 8  | 7  |     125     |    15    |   2.00   |     0.11    |  1.67  |   0.72  | ibmq_rochester |
|    59    |   9   |   27  |  6   |  15  |    0.22    | 9  | 5  | 9  | 5  |  9  |  11 |  6  | 13 | 8  |     125     |    15    |   0.67   |     0.33    |  0.38  |   0.72  |  ibmq_prague   |
|    60    |   4   |   26  |  4   |  8   |    0.15    | 5  | 3  | 5  | 4  |  6  |  2  |  8  | 3  | 3  |      63     |    15    |   1.00   |     0.15    |  0.44  |   0.75  | ibmq_peekskill |
|    61    |   9   |   40  |  13  |  7   |    0.33    | 9  | 15 | 9  | 19 |  12 |  10 |  13 | 11 | 11 |     168     |    15    |   1.44   |     0.23    |  1.62  |   0.69  |ibmq_poughkeepsie|
|    62    |   7   |   29  |  6   |  7   |    0.21    | 10 | 10 | 8  | 10 |  8  |  9  |  7  | 7  | 5  |     111     |    15    |   0.86   |     0.24    |  0.75  |   0.73  |ibmq_sherbrooke |
|    63    |   8   |   40  |  13  |  17  |    0.33    | 9  | 10 | 7  | 15 |  10 |  7  |  5  | 10 | 14 |     151     |    15    |   1.62   |     0.20    |  0.72  |   0.69  |ibmq_sherbrooke |
|    64    |   6   |   39  |  11  |  9   |    0.28    | 11 | 10 | 9  | 6  |  8  |  15 |  13 | 7  | 10 |     135     |    15    |   1.83   |     0.15    |  1.10  |   0.73  | ibmq_manhattan |
|    65    |   4   |   19  |  3   |  3   |    0.16    | 3  | 3  | 3  | 2  |  1  |  3  |  4  | 1  | 3  |      40     |    15    |   0.75   |     0.21    |  0.75  |   0.65  |  ibmq_prague   |
|    66    |   5   |   31  |  6   |  10  |    0.19    | 14 | 4  | 3  | 5  |  7  |  13 |  4  | 6  | 6  |      95     |    15    |   1.20   |     0.16    |  0.55  |   0.76  |  ibmq_quebec   |
|    67    |   5   |   39  |  11  |  6   |    0.28    | 10 | 10 | 5  | 6  |  10 |  4  |  9  | 11 | 7  |     111     |    15    |   2.20   |     0.13    |  1.57  |   0.70  |ibmq_sherbrooke |
|    68    |   5   |   33  |  6   |  6   |    0.18    | 7  | 8  | 8  | 9  |  5  |  6  |  13 | 8  | 6  |     101     |    15    |   1.20   |     0.15    |  0.86  |   0.75  |ibmq_sherbrooke |
|    69    |   4   |   16  |  0   |  2   |    0.00    | 1  | 2  | 2  | 6  |  4  |  3  |  1  | 0  | 2  |      39     |    13    |   0.00   |     0.25    |  0.00  |   0.59  |   ibmq_perth   |
|    70    |   5   |   15  |  2   |  3   |    0.13    | 4  | 4  | 2  | 5  |  4  |  0  |  5  | 4  | 6  |      49     |    14    |   0.40   |     0.33    |  0.50  |   0.76  |  ibmq_sydney   |
|    71    |   6   |   45  |  11  |  13  |    0.24    | 8  | 10 | 8  | 14 |  6  |  15 |  11 | 10 | 10 |     145     |    15    |   1.83   |     0.13    |  0.79  |   0.72  |ibmq_sherbrooke |
|    72    |   5   |   12  |  1   |  0   |    0.08    | 3  | 5  | 6  | 0  |  2  |  0  |  2  | 1  | 3  |      36     |    12    |   0.20   |     0.42    |  1.00  |   0.61  |  ibmq_quebec   |
|    73    |   6   |   21  |  7   |  2   |    0.33    | 6  | 3  | 4  | 10 |  7  |  4  |  1  | 2  | 4  |      69     |    15    |   1.17   |     0.29    |  2.33  |   0.62  |ibmq_sherbrooke |
|    74    |   9   |   28  |  8   |  7   |    0.29    | 9  | 10 | 5  | 6  |  9  |  12 |  6  | 11 | 6  |     114     |    15    |   0.89   |     0.32    |  1.00  |   0.71  |  ibmq_prague   |
|    75    |   11  |   23  |  7   |  3   |    0.30    | 11 | 11 | 9  | 7  |  9  |  5  |  10 | 12 | 7  |     118     |    15    |   0.64   |     0.48    |  1.75  |   0.71  |ibmq_sherbrooke |
|    76    |   5   |   30  |  4   |  9   |    0.13    | 6  | 5  | 11 | 9  |  8  |  8  |  3  | 11 | 6  |     102     |    15    |   0.80   |     0.17    |  0.40  |   0.75  |  ibmq_nairobi  |
|    77    |   5   |   17  |  2   |  3   |    0.12    | 3  | 5  | 3  | 5  |  5  |  4  |  4  | 3  | 5  |      54     |    14    |   0.40   |     0.29    |  0.50  |   0.74  |   ibmq_osaka   |
|    78    |   9   |   48  |  22  |  18  |    0.46    | 15 | 24 | 15 | 11 |  14 |  12 |  15 | 16 | 18 |     221     |    15    |   2.44   |     0.19    |  1.16  |   0.71  |  ibmq_prague   |
|    79    |   11  |   23  |  13  |  18  |    0.57    | 9  | 5  | 3  | 14 |  9  |  6  |  11 | 8  | 3  |     129     |    15    |   1.18   |     0.48    |  0.68  |   0.67  | ibmq_peekskill |
|    80    |   7   |   25  |  8   |  9   |    0.32    | 5  | 5  | 4  | 9  |  8  |  10 |  9  | 7  | 4  |     100     |    15    |   1.14   |     0.28    |  0.80  |   0.70  |ibmq_washington |
|    81    |   5   |   34  |  6   |  9   |    0.18    | 8  | 7  | 6  | 7  |  11 |  6  |  7  | 8  | 7  |     107     |    15    |   1.20   |     0.15    |  0.60  |   0.71  | ibmq_rochester |
|    82    |   10  |   40  |  15  |  14  |    0.38    | 16 | 15 | 14 | 21 |  21 |  18 |  15 | 21 | 12 |     221     |    15    |   1.50   |     0.25    |  1.00  |   0.76  | ibmq_rochester |
|    83    |   6   |   40  |  11  |  7   |    0.28    | 8  | 4  | 5  | 13 |  7  |  7  |  12 | 12 | 11 |     125     |    15    |   1.83   |     0.15    |  1.38  |   0.69  |ibmq_washington |
|    84    |   6   |   37  |  8   |  7   |    0.22    | 8  | 7  | 9  | 10 |  5  |  10 |  13 | 13 | 5  |     122     |    15    |   1.33   |     0.16    |  1.00  |   0.71  | ibmq_montreal  |
|    85    |   11  |   32  |  12  |  8   |    0.38    | 16 | 11 | 15 | 10 |  13 |  10 |  11 | 11 | 16 |     178     |    15    |   1.09   |     0.34    |  1.33  |   0.68  |ibmq_sherbrooke |
|    86    |   9   |   32  |  14  |  8   |    0.44    | 6  | 9  | 12 | 13 |  10 |  11 |  9  | 13 | 15 |     149     |    15    |   1.56   |     0.28    |  1.56  |   0.71  | ibmq_marrakesh |
|    87    |   6   |   30  |  9   |  4   |    0.30    | 7  | 7  | 2  | 7  |  9  |  2  |  4  | 11 | 4  |      94     |    15    |   1.50   |     0.20    |  1.80  |   0.61  |ibmq_washington |
|    88    |   7   |   40  |  16  |  10  |    0.40    | 7  | 15 | 14 | 12 |  11 |  10 |  11 | 11 | 7  |     153     |    15    |   2.29   |     0.17    |  1.45  |   0.71  |   ibmq_perth   |
|    89    |   7   |   28  |  11  |  8   |    0.39    | 10 | 2  | 9  | 5  |  11 |  9  |  7  | 11 | 5  |     109     |    15    |   1.57   |     0.25    |  1.22  |   0.71  | ibmq_singapore |
|    90    |   5   |   11  |  0   |  2   |    0.00    | 1  | 0  | 2  | 3  |  0  |  3  |  1  | 2  | 3  |      29     |    12    |   0.00   |     0.45    |  0.00  |   0.59  |  ibmq_prague   |
|    91    |   5   |   12  |  3   |  2   |    0.25    | 6  | 0  | 9  | 2  |  2  |  1  |  2  | 3  | 2  |      42     |    14    |   0.60   |     0.42    |  1.00  |   0.69  | ibmq_manhattan |
|    92    |   9   |   14  |  10  |  6   |    0.71    | 1  | 3  | 3  | 6  |  2  |  6  |  4  | 4  | 3  |      63     |    15    |   1.11   |     0.64    |  1.43  |   0.60  | ibmq_melbourne |
|    93    |   6   |   18  |  5   |  5   |    0.28    | 3  | 3  | 6  | 1  |  4  |  4  |  5  | 6  | 2  |      62     |    15    |   0.83   |     0.33    |  0.83  |   0.63  | ibmq_singapore |
|    94    |   9   |   41  |  17  |  12  |    0.41    | 9  | 20 | 21 | 10 |  14 |  13 |  21 | 14 | 10 |     199     |    15    |   1.89   |     0.22    |  1.31  |   0.72  |ibmq_sherbrooke |
|    95    |   9   |   24  |  10  |  11  |    0.42    | 8  | 12 | 5  | 11 |  6  |  8  |  9  | 4  | 9  |     122     |    15    |   1.11   |     0.38    |  0.83  |   0.68  |  ibmq_prague   |
|    96    |   4   |   39  |  4   |  4   |    0.10    | 11 | 4  | 3  | 6  |  3  |  4  |  6  | 6  | 8  |      80     |    15    |   1.00   |     0.10    |  0.80  |   0.69  | ibmq_marrakesh |
|    97    |   4   |   46  |  14  |  7   |    0.30    | 8  | 6  | 6  | 6  |  10 |  3  |  4  | 10 | 7  |      98     |    15    |   3.50   |     0.09    |  1.75  |   0.68  | ibmq_marrakesh |
|    98    |   10  |   43  |  22  |  15  |    0.51    | 14 | 17 | 11 | 17 |  19 |  16 |  10 | 13 | 12 |     210     |    15    |   2.20   |     0.23    |  1.38  |   0.69  |  ibmq_mumbai   |
|    99    |   7   |   42  |  8   |  8   |    0.19    | 12 | 16 | 10 | 12 |  15 |  14 |  10 | 11 | 10 |     156     |    15    |   1.14   |     0.17    |  0.89  |   0.76  |  ibmq_prague   |
|   100    |   5   |   23  |  9   |  3   |    0.39    | 5  | 4  | 4  | 2  |  9  |  1  |  7  | 4  | 5  |      65     |    15    |   1.80   |     0.22    |  2.25  |   0.68  |  ibmq_quebec   |
|   101    |   9   |   36  |  15  |  14  |    0.42    | 5  | 19 | 12 | 15 |  5  |  12 |  11 | 14 | 10 |     159     |    15    |   1.67   |     0.25    |  1.00  |   0.74  |ibmq_sherbrooke |
|   102    |   10  |   44  |  20  |  16  |    0.45    | 14 | 17 | 21 | 24 |  16 |  15 |  11 | 13 | 18 |     234     |    15    |   2.00   |     0.23    |  1.18  |   0.71  |ibmq_sherbrooke |
|   103    |   7   |   17  |  3   |  8   |    0.18    | 5  | 3  | 5  | 7  |  5  |  3  |  5  | 4  | 6  |      70     |    15    |   0.43   |     0.41    |  0.33  |   0.73  |  ibmq_jakarta  |
|   104    |   9   |   45  |  16  |  14  |    0.36    | 11 | 18 | 13 | 11 |  9  |  20 |  14 | 11 | 18 |     198     |    15    |   1.78   |     0.20    |  1.07  |   0.70  |  ibmq_prague   |
|   105    |   7   |   29  |  9   |  13  |    0.31    | 9  | 11 | 6  | 6  |  13 |  5  |  4  | 7  | 8  |     114     |    15    |   1.29   |     0.24    |  0.64  |   0.72  | ibmq_manhattan |
|   106    |   9   |   38  |  12  |  15  |    0.32    | 7  | 12 | 21 | 16 |  14 |  8  |  16 | 17 | 7  |     185     |    15    |   1.33   |     0.24    |  0.75  |   0.72  | ibmq_melbourne |
|   107    |   8   |   46  |  18  |  14  |    0.39    | 14 | 9  | 12 | 10 |  14 |  11 |  15 | 15 | 10 |     181     |    15    |   2.25   |     0.17    |  1.20  |   0.69  |  ibmq_sydney   |
|   108    |   5   |   36  |  10  |  8   |    0.28    | 6  | 5  | 9  | 10 |  3  |  10 |  12 | 8  | 9  |     110     |    15    |   2.00   |     0.14    |  1.11  |   0.73  | ibmq_rochester |
|   109    |   5   |   22  |  2   |  2   |    0.09    | 8  | 3  | 2  | 5  |  5  |  3  |  5  | 6  | 6  |      64     |    15    |   0.40   |     0.23    |  0.67  |   0.70  | ibmq_brooklyn  |
|   110    |   6   |   20  |  2   |  7   |    0.10    | 2  | 1  | 5  | 5  |  6  |  6  |  2  | 5  | 6  |      65     |    15    |   0.33   |     0.30    |  0.25  |   0.69  | ibmq_manhattan |
|   111    |   10  |   35  |  10  |  16  |    0.29    | 9  | 9  | 8  | 15 |  11 |  13 |  15 | 15 | 12 |     176     |    15    |   1.00   |     0.29    |  0.59  |   0.70  | ibmq_peekskill |
|   112    |   8   |   11  |  3   |  5   |    0.27    | 4  | 5  | 3  | 4  |  4  |  0  |  0  | 1  | 5  |      49     |    13    |   0.38   |     0.73    |  0.50  |   0.63  |  ibmq_prague   |
|   113    |   5   |   22  |  2   |  4   |    0.09    | 6  | 6  | 4  | 6  |  4  |  1  |  3  | 12 | 2  |      67     |    15    |   0.40   |     0.23    |  0.40  |   0.72  |ibmq_sherbrooke |
|   114    |   6   |   17  |  3   |  4   |    0.18    | 1  | 5  | 5  | 5  |  5  |  8  |  5  | 0  | 6  |      63     |    14    |   0.50   |     0.35    |  0.60  |   0.70  | ibmq_brooklyn  |
|   115    |   9   |   29  |  7   |  4   |    0.24    | 7  | 15 | 9  | 15 |  8  |  13 |  8  | 15 | 11 |     147     |    15    |   0.78   |     0.31    |  1.40  |   0.71  |  ibmq_quebec   |
|   116    |   11  |   46  |  23  |  21  |    0.50    | 21 | 16 | 16 | 9  |  14 |  17 |  16 | 19 | 16 |     237     |    15    |   2.09   |     0.24    |  1.05  |   0.70  | ibmq_rochester |
|   117    |   5   |   23  |  6   |  7   |    0.26    | 6  | 4  | 2  | 3  |  8  |  4  |  4  | 6  | 3  |      67     |    15    |   1.20   |     0.22    |  0.75  |   0.70  | ibmq_singapore |
|   118    |   8   |   21  |  13  |  9   |    0.62    | 11 | 2  | 1  | 5  |  5  |  5  |  7  | 3  | 9  |      91     |    15    |   1.62   |     0.38    |  1.30  |   0.63  |  ibmq_toronto  |
|   119    |   7   |   10  |  2   |  1   |    0.20    | 3  | 4  | 2  | 5  |  3  |  3  |  3  | 3  | 0  |      42     |    14    |   0.29   |     0.70    |  1.00  |   0.64  | ibmq_rochester |
|   120    |   11  |   18  |  9   |  5   |    0.50    | 9  | 8  | 10 | 1  |  4  |  6  |  12 | 7  | 11 |     110     |    15    |   0.82   |     0.61    |  1.50  |   0.66  | ibmq_manhattan |
|   121    |   7   |   10  |  3   |  4   |    0.30    | 1  | 7  | 0  | 4  |  3  |  6  |  5  | 5  | 4  |      52     |    14    |   0.43   |     0.70    |  0.60  |   0.75  |ibmq_poughkeepsie|
|   122    |   11  |   34  |  15  |  7   |    0.44    | 13 | 12 | 17 | 7  |  8  |  12 |  16 | 16 | 12 |     171     |    15    |   1.36   |     0.32    |  1.88  |   0.70  | ibmq_montreal  |
|   123    |   8   |   40  |  21  |  19  |    0.53    | 6  | 10 | 19 | 12 |  12 |  15 |  9  | 12 | 13 |     178     |    15    |   2.62   |     0.20    |  1.05  |   0.71  | ibmq_singapore |
|   124    |   6   |   42  |  14  |  10  |    0.33    | 6  | 5  | 8  | 9  |  8  |  8  |  5  | 11 | 7  |     118     |    15    |   2.33   |     0.14    |  1.27  |   0.65  | ibmq_manhattan |
|   125    |   8   |   38  |  12  |  12  |    0.32    | 13 | 12 | 11 | 6  |  11 |  13 |  11 | 13 | 8  |     154     |    15    |   1.50   |     0.21    |  0.92  |   0.71  |ibmq_sherbrooke |
|   126    |   11  |   15  |  5   |  5   |    0.33    | 5  | 6  | 5  | 9  |  4  |  3  |  5  | 6  | 9  |      84     |    15    |   0.45   |     0.73    |  0.83  |   0.68  |ibmq_washington |
|   127    |   7   |   24  |  8   |  7   |    0.33    | 10 | 7  | 9  | 8  |  7  |  5  |  5  | 9  | 8  |     103     |    15    |   1.14   |     0.29    |  1.00  |   0.73  |ibmq_washington |
